time,high,low,open,volumefrom,volumeto,close
2025-10-30,0.4014,0.3206,0.4004,149704449.56,49941404.37,0.3336
2025-10-31,0.3456,0.3008,0.3336,133789785.79,42737287.39,0.3194
2025-11-01,0.3444,0.3153,0.3194,53759321.97,18240537.94,0.3393
2025-11-02,0.3396,0.3185,0.3393,59837204.9,20266861.3,0.3387
2025-11-03,0.3389,0.2593,0.3387,189862287.91,50104657.78,0.2639
2025-11-04,0.2672,0.2368,0.2639,247097666.0,63454680.63,0.2568
2025-11-05,0.2886,0.2374,0.2568,192554650.43,52451886.78,0.2724
2025-11-06,0.275,0.2484,0.2724,122912460.77,31892593.99,0.2595
2025-11-07,0.3199,0.2584,0.2595,164473407.36,49212122.76,0.2992
2025-11-08,0.316,0.2755,0.2992,54303093.88,15746724.46,0.2942
2025-11-09,0.3392,0.2915,0.2942,77606575.89,24433269.21,0.3226
2025-11-10,0.3499,0.3175,0.3226,66851830.5,22603929.03,0.3407
2025-11-11,0.3468,0.2894,0.3407,66652459.24,20619770.25,0.2923
2025-11-12,0.3101,0.271,0.2923,101904729.91,28584276.74,0.2805
2025-11-13,0.2893,0.2515,0.2805,208530189.56,55348155.9,0.2654
2025-11-14,0.2662,0.2262,0.2654,254980725.02,59699631.57,0.2341
2025-11-15,0.2541,0.2338,0.2338,25716059.54,6320312.08,0.2435
2025-11-16,0.2527,0.2275,0.2435,44658452.9,10733682.59,0.2435
2025-11-17,0.2589,0.2306,0.2444,222183046.5,53657205.73,0.2415
2025-11-18,0.2667,0.2347,0.2412,80533333.59,20427566.15,0.257
2025-11-19,0.2721,0.2352,0.2574,207741841.4,55824254.67,0.2687
2025-11-20,0.3139,0.2575,0.2686,122901403.45,34707071.12,0.2681
2025-11-21,0.292,0.2086,0.2681,153619880.26,37049226.05,0.2237
2025-11-22,0.2262,0.1792,0.2237,98933515.03,19656204.66,0.2099
2025-11-23,0.2383,0.2091,0.2099,90437677.47,20481916.71,0.2239
2025-11-24,0.2898,0.2162,0.2239,118731339.52,30866297.47,0.2827
2025-11-25,0.3198,0.2692,0.2827,104030485.21,31091495.44,0.3001
2025-11-26,0.3812,0.2783,0.3001,127619522.46,40204201.61,0.3526
2025-11-27,0.358,0.3146,0.3526,94988799.11,32206696.05,0.342
2025-11-28,0.3644,0.3228,0.342,106973942.76,36576582.28,0.3433
2025-11-29,0.3471,0.3086,0.3433,58990380.3,19083093.28,0.3202
2025-11-30,0.3382,0.3043,0.3202,64434929.4,20937932.36,0.3054
2025-12-01,0.329,0.2586,0.3054,189503743.74,55963795.24,0.3201
2025-12-02,0.394,0.3071,0.3201,126839568.76,43809763.44,0.3526
2025-12-03,0.3702,0.3147,0.3526,110839190.06,37750123.95,0.3486
2025-12-04,0.4084,0.3423,0.3486,146212362.96,55325504.37,0.3803
2025-12-05,0.3893,0.3357,0.3803,108220083.67,39320499.4,0.3745
2025-12-06,0.4128,0.3665,0.3745,75686221.91,29042261.54,0.3771
2025-12-07,0.4156,0.3481,0.3771,95303675.56,36338433.9,0.3705
2025-12-08,0.4122,0.3678,0.3705,89469468.45,35288539.75,0.3823
2025-12-09,0.4061,0.3554,0.3823,142559844.07,53745196.93,0.3693
2025-12-10,0.3964,0.3527,0.3693,72298362.09,26737199.37,0.354
2025-12-11,0.3695,0.3356,0.354,72727661.54,25469354.95,0.3635
2025-12-12,0.3943,0.3561,0.3635,54345137.76,20520877.19,0.3721
2025-12-13,0.3743,0.3524,0.3721,28316738.69,10350589.27,0.3597
2025-12-14,0.366,0.3401,0.3597,26159772.25,9305203.68,0.3489
2025-12-15,0.362,0.325,0.3491,113665218.71,38021015.66,0.3345
2025-12-16,0.3552,0.316,0.3345,100507238.63,35388598.72,0.3521
2025-12-17,0.3594,0.3009,0.3521,110949337.58,34139111.17,0.3077
2025-12-18,0.3132,0.242,0.3074,90668638.21,24979621.14,0.2439
2025-12-19,0.2877,0.2374,0.2439,66102037.4,17866127.14,0.2837
2025-12-20,0.2971,0.278,0.2837,31418149.94,9060039.34,0.2902
2025-12-21,0.2946,0.2803,0.2902,18423392.63,5305907.48,0.2906
2025-12-22,0.3166,0.2873,0.2908,180097552.96,52796200.98,0.2932
2025-12-23,0.2964,0.2661,0.2932,138086298.8,38230779.82,0.2769
2025-12-24,0.2935,0.2724,0.2769,82596079.15,24021037.76,0.2908
2025-12-25,0.2994,0.2871,0.2908,58834612.05,17053506.48,0.2899
2025-12-26,0.3113,0.2809,0.2899,115281813.26,34509639.62,0.2994
2025-12-27,0.3207,0.2983,0.2991,15429914.85,4778297.74,0.3161
2025-12-28,0.3208,0.3016,0.3161,25793604.11,8028936.57,0.3088
2025-12-29,0.3188,0.2835,0.3089,134917180.47,39005987.0,0.2891
2025-12-30,0.2967,0.2771,0.2891,110181211.76,31472457.71,0.2856
2025-12-31,0.2921,0.2641,0.2856,101454109.07,27228006.24,0.2684
